MessageSize;DictFileSize;ChunkSize;ComputationTime
4;10000;4;1.302
4;10000;5;1.042
4;10000;6;0.870
4;10000;7;0.741
4;10000;8;0.648
4;10000;9;0.577
4;10000;10;0.519
4;10000;12;0.433
4;10000;15;0.346
4;10000;20;0.260
4;10000;25;0.207
4;10000;30;0.175
4;10000;35;0.149
4;10000;40;0.131
4;10000;45;0.116
4;10000;50;0.103
4;50000;4;2.122
4;50000;5;1.699
4;50000;6;1.418
4;50000;7;1.228
4;50000;8;1.066
4;50000;9;0.944
4;50000;10;0.849
4;50000;12;0.708
4;50000;15;0.569
4;50000;20;0.426
4;50000;25;0.340
4;50000;30;0.285
4;50000;35;0.244
4;50000;40;0.215
4;50000;45;0.191
4;50000;50;0.169
4;100000;4;2.121
4;100000;5;1.698
4;100000;6;1.417
4;100000;7;1.212
4;100000;8;1.060
4;100000;9;0.945
4;100000;10;0.849
4;100000;12;0.708
4;100000;15;0.569
4;100000;20;0.426
4;100000;25;0.339
4;100000;30;0.286
4;100000;35;0.244
4;100000;40;0.215
4;100000;45;0.190
4;100000;50;0.170
4;200000;4;2.121
4;200000;5;1.697
4;200000;6;1.417
4;200000;7;1.213
4;200000;8;1.060
4;200000;9;0.945
4;200000;10;0.849
4;200000;12;0.708
4;200000;15;0.568
4;200000;20;0.426
4;200000;25;0.339
4;200000;30;0.286
4;200000;35;0.248
4;200000;40;0.215
4;200000;45;0.192
4;200000;50;0.170
4;500000;4;2.119
4;500000;5;1.697
4;500000;6;1.415
4;500000;7;1.214
4;500000;8;1.059
4;500000;9;0.944
4;500000;10;0.850
4;500000;12;0.709
4;500000;15;0.568
4;500000;20;0.426
4;500000;25;0.340
4;500000;30;0.285
4;500000;35;0.244
4;500000;40;0.215
4;500000;45;0.191
4;500000;50;0.169
4;1000000;4;2.121
4;1000000;5;1.698
4;1000000;6;1.416
4;1000000;7;1.213
4;1000000;8;1.061
4;1000000;9;0.944
4;1000000;10;0.849
4;1000000;12;0.708
4;1000000;15;0.567
4;1000000;20;0.427
4;1000000;25;0.339
4;1000000;30;0.286
4;1000000;35;0.244
4;1000000;40;0.215
4;1000000;45;0.190
4;1000000;50;0.169
4;2000000;4;2.121
4;2000000;5;1.699
4;2000000;6;1.415
4;2000000;7;1.215
4;2000000;8;1.059
4;2000000;9;0.944
4;2000000;10;0.850
4;2000000;12;0.709
4;2000000;15;0.568
4;2000000;20;0.426
4;2000000;25;0.339
4;2000000;30;0.285
4;2000000;35;0.244
4;2000000;40;0.215
4;2000000;45;0.192
4;2000000;50;0.169
4;4000000;4;2.123
4;4000000;5;1.702
4;4000000;6;1.417
4;4000000;7;1.214
4;4000000;8;1.061
4;4000000;9;0.946
4;4000000;10;0.851
4;4000000;12;0.710
4;4000000;15;0.568
4;4000000;20;0.428
4;4000000;25;0.339
4;4000000;30;0.286
4;4000000;35;0.245
4;4000000;40;0.215
4;4000000;45;0.190
4;4000000;50;0.169
8;10000;4;2.590
8;10000;5;2.074
8;10000;6;1.728
8;10000;7;1.482
8;10000;8;1.296
8;10000;9;1.154
8;10000;10;1.037
8;10000;12;0.866
8;10000;15;0.693
8;10000;20;0.519
8;10000;25;0.415
8;10000;30;0.347
8;10000;35;0.298
8;10000;40;0.260
8;10000;45;0.234
8;10000;50;0.207
8;50000;4;4.244
8;50000;5;3.400
8;50000;6;2.830
8;50000;7;2.429
8;50000;8;2.121
8;50000;9;1.897
8;50000;10;1.700
8;50000;12;1.417
8;50000;15;1.136
8;50000;20;0.850
8;50000;25;0.681
8;50000;30;0.568
8;50000;35;0.490
8;50000;40;0.427
8;50000;45;0.387
8;50000;50;0.356
8;100000;4;4.247
8;100000;5;3.401
8;100000;6;2.832
8;100000;7;2.430
8;100000;8;2.123
8;100000;9;1.890
8;100000;10;1.700
8;100000;12;1.421
8;100000;15;1.161
8;100000;20;0.852
8;100000;25;0.681
8;100000;30;0.568
8;100000;35;0.489
8;100000;40;0.427
8;100000;45;0.381
8;100000;50;0.339
8;200000;4;4.244
8;200000;5;3.398
8;200000;6;2.837
8;200000;7;2.429
8;200000;8;2.122
8;200000;9;1.890
8;200000;10;1.699
8;200000;12;1.418
8;200000;15;1.135
8;200000;20;0.850
8;200000;25;0.681
8;200000;30;0.567
8;200000;35;0.490
8;200000;40;0.427
8;200000;45;0.382
8;200000;50;0.340
8;500000;4;4.247
8;500000;5;3.400
8;500000;6;2.830
8;500000;7;2.438
8;500000;8;2.183
8;500000;9;1.992
8;500000;10;1.741
8;500000;12;1.418
8;500000;15;1.134
8;500000;20;0.851
8;500000;25;0.685
8;500000;30;0.574
8;500000;35;0.498
8;500000;40;0.430
8;500000;45;0.392
8;500000;50;0.343
8;1000000;4;4.270
8;1000000;5;3.423
8;1000000;6;2.855
8;1000000;7;2.441
8;1000000;8;2.128
8;1000000;9;1.938
8;1000000;10;1.722
8;1000000;12;1.426
8;1000000;15;1.149
8;1000000;20;0.852
8;1000000;25;0.685
8;1000000;30;0.575
8;1000000;35;0.494
8;1000000;40;0.428
8;1000000;45;0.385
8;1000000;50;0.345
8;2000000;4;4.245
8;2000000;5;3.406
8;2000000;6;2.854
8;2000000;7;2.467
8;2000000;8;2.143
8;2000000;9;1.898
8;2000000;10;1.703
8;2000000;12;1.420
8;2000000;15;1.136
8;2000000;20;0.865
8;2000000;25;0.683
8;2000000;30;0.568
8;2000000;35;0.489
8;2000000;40;0.427
8;2000000;45;0.383
8;2000000;50;0.339
8;4000000;4;4.268
8;4000000;5;3.421
8;4000000;6;2.876
8;4000000;7;2.455
8;4000000;8;2.126
8;4000000;9;1.902
8;4000000;10;1.701
8;4000000;12;1.418
8;4000000;15;1.148
8;4000000;20;0.887
8;4000000;25;0.682
8;4000000;30;0.569
8;4000000;35;0.492
8;4000000;40;0.429
8;4000000;45;0.381
8;4000000;50;0.340
10;10000;4;3.243
10;10000;5;2.598
10;10000;6;2.162
10;10000;7;1.853
10;10000;8;1.630
10;10000;9;1.447
10;10000;10;1.303
10;10000;12;1.083
10;10000;15;0.868
10;10000;20;0.650
10;10000;25;0.520
10;10000;30;0.433
10;10000;35;0.371
10;10000;40;0.323
10;10000;45;0.289
10;10000;50;0.260
10;50000;4;5.332
10;50000;5;4.275
10;50000;6;3.582
10;50000;7;3.066
10;50000;8;2.657
10;50000;9;2.363
10;50000;10;2.124
10;50000;12;1.770
10;50000;15;1.418
10;50000;20;1.061
10;50000;25;0.849
10;50000;30;0.710
10;50000;35;0.613
10;50000;40;0.530
10;50000;45;0.473
10;50000;50;0.426
10;100000;4;5.330
10;100000;5;4.258
10;100000;6;3.554
10;100000;7;3.052
10;100000;8;2.663
10;100000;9;2.371
10;100000;10;2.125
10;100000;12;1.773
10;100000;15;1.420
10;100000;20;1.064
10;100000;25;0.851
10;100000;30;0.710
10;100000;35;0.609
10;100000;40;0.531
10;100000;45;0.472
10;100000;50;0.428
10;200000;4;5.306
10;200000;5;4.261
10;200000;6;3.560
10;200000;7;3.038
10;200000;8;2.658
10;200000;9;2.366
10;200000;10;2.137
10;200000;12;1.795
10;200000;15;1.420
10;200000;20;1.062
10;200000;25;0.850
10;200000;30;0.710
10;200000;35;0.609
10;200000;40;0.531
10;200000;45;0.472
10;200000;50;0.428
10;500000;4;5.797
10;500000;5;4.397
10;500000;6;3.682
10;500000;7;3.047
10;500000;8;2.654
10;500000;9;2.358
10;500000;10;2.151
10;500000;12;1.853
10;500000;15;1.418
10;500000;20;1.061
10;500000;25;0.850
10;500000;30;0.709
10;500000;35;0.613
10;500000;40;0.531
10;500000;45;0.473
10;500000;50;0.427
10;1000000;4;5.305
10;1000000;5;4.243
10;1000000;6;3.541
10;1000000;7;3.033
10;1000000;8;2.653
10;1000000;9;2.358
10;1000000;10;2.121
10;1000000;12;1.769
10;1000000;15;1.418
10;1000000;20;1.060
10;1000000;25;0.851
10;1000000;30;0.709
10;1000000;35;0.609
10;1000000;40;0.530
10;1000000;45;0.473
10;1000000;50;0.426
10;2000000;4;5.397
10;2000000;5;4.249
10;2000000;6;3.546
10;2000000;7;3.033
10;2000000;8;2.653
10;2000000;9;2.359
10;2000000;10;2.122
10;2000000;12;1.770
10;2000000;15;1.416
10;2000000;20;1.060
10;2000000;25;0.850
10;2000000;30;0.708
10;2000000;35;0.610
10;2000000;40;0.531
10;2000000;45;0.472
10;2000000;50;0.426
10;4000000;4;5.375
10;4000000;5;4.245
10;4000000;6;3.541
10;4000000;7;3.033
10;4000000;8;2.652
10;4000000;9;2.359
10;4000000;10;2.122
10;4000000;12;1.771
10;4000000;15;1.418
10;4000000;20;1.061
10;4000000;25;0.850
10;4000000;30;0.712
10;4000000;35;0.609
10;4000000;40;0.530
10;4000000;45;0.472
10;4000000;50;0.427
12;10000;4;3.886
12;10000;5;3.110
12;10000;6;2.591
12;10000;7;2.221
12;10000;8;1.943
12;10000;9;1.729
12;10000;10;1.557
12;10000;12;1.295
12;10000;15;1.038
12;10000;20;0.780
12;10000;25;0.623
12;10000;30;0.518
12;10000;35;0.446
12;10000;40;0.389
12;10000;45;0.347
12;10000;50;0.311
12;50000;4;6.365
12;50000;5;5.093
12;50000;6;4.334
12;50000;7;3.643
12;50000;8;3.184
12;50000;9;2.832
12;50000;10;2.550
12;50000;12;2.122
12;50000;15;1.700
12;50000;20;1.276
12;50000;25;1.019
12;50000;30;0.850
12;50000;35;0.730
12;50000;40;0.638
12;50000;45;0.568
12;50000;50;0.510
12;100000;4;6.366
12;100000;5;5.096
12;100000;6;4.243
12;100000;7;3.640
12;100000;8;3.182
12;100000;9;2.832
12;100000;10;2.549
12;100000;12;2.122
12;100000;15;1.700
12;100000;20;1.276
12;100000;25;1.020
12;100000;30;0.850
12;100000;35;0.730
12;100000;40;0.639
12;100000;45;0.568
12;100000;50;0.509
12;200000;4;6.367
12;200000;5;5.096
12;200000;6;4.243
12;200000;7;3.639
12;200000;8;3.182
12;200000;9;2.831
12;200000;10;2.550
12;200000;12;2.122
12;200000;15;1.699
12;200000;20;1.280
12;200000;25;1.019
12;200000;30;0.850
12;200000;35;0.729
12;200000;40;0.639
12;200000;45;0.568
12;200000;50;0.509
12;500000;4;6.366
12;500000;5;5.093
12;500000;6;4.243
12;500000;7;3.640
12;500000;8;3.182
12;500000;9;2.830
12;500000;10;2.548
12;500000;12;2.122
12;500000;15;1.699
12;500000;20;1.279
12;500000;25;1.019
12;500000;30;0.850
12;500000;35;0.729
12;500000;40;0.639
12;500000;45;0.569
12;500000;50;0.509
12;1000000;4;6.384
12;1000000;5;5.093
12;1000000;6;4.250
12;1000000;7;3.652
12;1000000;8;3.183
12;1000000;9;2.830
12;1000000;10;2.550
12;1000000;12;2.121
12;1000000;15;1.700
12;1000000;20;1.277
12;1000000;25;1.019
12;1000000;30;0.850
12;1000000;35;0.730
12;1000000;40;0.639
12;1000000;45;0.567
12;1000000;50;0.511
12;2000000;4;6.364
12;2000000;5;5.164
12;2000000;6;4.249
12;2000000;7;3.649
12;2000000;8;3.183
12;2000000;9;2.832
12;2000000;10;2.552
12;2000000;12;2.137
12;2000000;15;1.704
12;2000000;20;1.275
12;2000000;25;1.018
12;2000000;30;0.853
12;2000000;35;0.729
12;2000000;40;0.638
12;2000000;45;0.567
12;2000000;50;0.509
12;4000000;4;6.368
12;4000000;5;5.100
12;4000000;6;4.237
12;4000000;7;3.635
12;4000000;8;3.180
12;4000000;9;2.831
12;4000000;10;2.546
12;4000000;12;2.120
12;4000000;15;1.698
12;4000000;20;1.276
12;4000000;25;1.019
12;4000000;30;0.848
12;4000000;35;0.728
12;4000000;40;0.639
12;4000000;45;0.567
12;4000000;50;0.510
14;10000;4;4.530
14;10000;5;3.645
14;10000;6;3.019
14;10000;7;2.587
14;10000;8;2.265
14;10000;9;2.013
14;10000;10;1.811
14;10000;12;1.512
14;10000;15;1.208
14;10000;20;0.908
14;10000;25;0.726
14;10000;30;0.604
14;10000;35;0.519
14;10000;40;0.455
14;10000;45;0.405
14;10000;50;0.364
14;50000;4;7.418
14;50000;5;5.939
14;50000;6;4.946
14;50000;7;4.240
14;50000;8;3.709
14;50000;9;3.305
14;50000;10;2.973
14;50000;12;2.479
14;50000;15;1.982
14;50000;20;1.494
14;50000;25;1.188
14;50000;30;0.990
14;50000;35;0.850
14;50000;40;0.747
14;50000;45;0.663
14;50000;50;0.598
14;100000;4;7.427
14;100000;5;5.944
14;100000;6;4.952
14;100000;7;4.246
14;100000;8;3.713
14;100000;9;3.305
14;100000;10;2.972
14;100000;12;2.478
14;100000;15;1.982
14;100000;20;1.489
14;100000;25;1.189
14;100000;30;0.992
14;100000;35;0.850
14;100000;40;0.746
14;100000;45;0.664
14;100000;50;0.597
14;200000;4;7.432
14;200000;5;5.943
14;200000;6;4.952
14;200000;7;4.244
14;200000;8;3.713
14;200000;9;3.315
14;200000;10;3.080
14;200000;12;2.499
14;200000;15;1.985
14;200000;20;1.492
14;200000;25;1.190
14;200000;30;0.991
14;200000;35;0.851
14;200000;40;0.747
14;200000;45;0.726
14;200000;50;0.631
14;500000;4;7.574
14;500000;5;6.068
14;500000;6;5.153
14;500000;7;4.379
14;500000;8;3.851
14;500000;9;3.330
14;500000;10;2.986
14;500000;12;2.478
14;500000;15;1.986
14;500000;20;1.490
14;500000;25;1.190
14;500000;30;0.993
14;500000;35;0.850
14;500000;40;0.747
14;500000;45;0.666
14;500000;50;0.604
14;1000000;4;7.731
14;1000000;5;6.033
14;1000000;6;4.957
14;1000000;7;4.247
14;1000000;8;3.716
14;1000000;9;3.309
14;1000000;10;2.997
14;1000000;12;2.478
14;1000000;15;1.982
14;1000000;20;1.487
14;1000000;25;1.189
14;1000000;30;0.991
14;1000000;35;0.849
14;1000000;40;0.746
14;1000000;45;0.664
14;1000000;50;0.602
14;2000000;4;7.425
14;2000000;5;6.035
14;2000000;6;4.959
14;2000000;7;4.253
14;2000000;8;3.714
14;2000000;9;3.302
14;2000000;10;2.972
14;2000000;12;2.477
14;2000000;15;1.982
14;2000000;20;1.488
14;2000000;25;1.191
14;2000000;30;0.995
14;2000000;35;0.851
14;2000000;40;0.746
14;2000000;45;0.663
14;2000000;50;0.596
14;4000000;4;7.481
14;4000000;5;8.402
14;4000000;6;4.955
14;4000000;7;4.244
14;4000000;8;3.719
14;4000000;9;3.302
14;4000000;10;2.972
14;4000000;12;2.479
14;4000000;15;1.982
14;4000000;20;1.488
14;4000000;25;1.189
14;4000000;30;0.995
14;4000000;35;0.850
14;4000000;40;0.747
14;4000000;45;0.666
14;4000000;50;0.596
18;10000;4;5.830
18;10000;5;10.419
18;10000;6;3.886
18;10000;7;3.331
18;10000;8;2.915
18;10000;9;2.591
18;10000;10;2.333
18;10000;12;1.942
18;10000;15;1.555
18;10000;20;1.165
18;10000;25;0.934
18;10000;30;0.780
18;10000;35;0.668
18;10000;40;0.584
18;10000;45;0.519
18;10000;50;0.467
18;50000;4;9.548
18;50000;5;7.641
18;50000;6;6.932
18;50000;7;5.460
18;50000;8;4.780
18;50000;9;4.243
18;50000;10;3.821
18;50000;12;3.182
18;50000;15;2.550
18;50000;20;1.911
18;50000;25;1.530
18;50000;30;1.276
18;50000;35;1.094
18;50000;40;0.958
18;50000;45;0.850
18;50000;50;0.767
18;100000;4;9.557
18;100000;5;8.439
18;100000;6;6.366
18;100000;7;5.464
18;100000;8;4.776
18;100000;9;4.243
18;100000;10;3.820
18;100000;12;3.182
18;100000;15;2.549
18;100000;20;1.912
18;100000;25;1.529
18;100000;30;1.277
18;100000;35;1.094
18;100000;40;0.957
18;100000;45;0.851
18;100000;50;0.767
18;200000;4;10.360
18;200000;5;7.641
18;200000;6;6.364
18;200000;7;5.458
18;200000;8;4.774
18;200000;9;4.244
18;200000;10;3.821
18;200000;12;3.182
18;200000;15;2.549
18;200000;20;1.913
18;200000;25;2.247
18;200000;30;1.277
18;200000;35;1.094
18;200000;40;0.958
18;200000;45;0.850
18;200000;50;0.766
18;500000;4;9.548
18;500000;5;7.641
18;500000;6;6.364
18;500000;7;5.459
18;500000;8;4.774
18;500000;9;4.245
18;500000;10;4.598
18;500000;12;3.182
18;500000;15;2.549
18;500000;20;1.911
18;500000;25;1.529
18;500000;30;1.276
18;500000;35;1.095
18;500000;40;0.958
18;500000;45;0.850
18;500000;50;0.767
18;1000000;4;9.553
18;1000000;5;7.643
18;1000000;6;6.364
18;1000000;7;6.263
18;1000000;8;4.775
18;1000000;9;4.244
18;1000000;10;3.829
18;1000000;12;3.182
18;1000000;15;2.549
18;1000000;20;1.911
18;1000000;25;1.529
18;1000000;30;1.276
18;1000000;35;1.094
18;1000000;40;0.958
18;1000000;45;0.850
18;1000000;50;0.767
18;2000000;4;9.548
18;2000000;5;8.445
18;2000000;6;6.366
18;2000000;7;5.458
18;2000000;8;4.775
18;2000000;9;4.245
18;2000000;10;3.822
18;2000000;12;3.182
18;2000000;15;2.549
18;2000000;20;1.911
18;2000000;25;1.531
18;2000000;30;1.278
18;2000000;35;1.094
18;2000000;40;0.958
18;2000000;45;0.850
18;2000000;50;0.770
18;4000000;4;9.560
18;4000000;5;7.643
18;4000000;6;6.368
18;4000000;7;5.457
18;4000000;8;4.781
18;4000000;9;4.246
18;4000000;10;4.641
18;4000000;12;3.183
18;4000000;15;2.549
18;4000000;20;1.911
18;4000000;25;1.530
18;4000000;30;1.277
18;4000000;35;1.094
18;4000000;40;0.958
18;4000000;45;0.850
18;4000000;50;0.767
22;10000;4;7.123
22;10000;5;5.701
22;10000;6;4.750
22;10000;7;4.072
22;10000;8;3.566
22;10000;9;3.908
22;10000;10;2.852
22;10000;12;2.375
22;10000;15;1.905
22;10000;20;1.427
22;10000;25;1.140
22;10000;30;0.952
22;10000;35;0.814
22;10000;40;0.715
22;10000;45;0.635
22;10000;50;0.571
22;50000;4;11.670
22;50000;5;9.336
22;50000;6;7.784
22;50000;7;7.459
22;50000;8;5.943
22;50000;9;5.246
22;50000;10;4.665
22;50000;12;3.887
22;50000;15;3.108
22;50000;20;2.334
22;50000;25;1.867
22;50000;30;1.556
22;50000;35;1.333
22;50000;40;1.168
22;50000;45;1.040
22;50000;50;0.937
22;100000;4;12.427
22;100000;5;9.338
22;100000;6;7.785
22;100000;7;6.673
22;100000;8;5.836
22;100000;9;5.188
22;100000;10;4.671
22;100000;12;3.895
22;100000;15;3.843
22;100000;20;2.337
22;100000;25;1.870
22;100000;30;1.559
22;100000;35;1.334
22;100000;40;1.168
22;100000;45;1.040
22;100000;50;0.937
22;200000;4;11.672
22;200000;5;9.336
22;200000;6;7.783
22;200000;7;7.466
22;200000;8;5.836
22;200000;9;5.188
22;200000;10;4.671
22;200000;12;3.892
22;200000;15;3.112
22;200000;20;2.337
22;200000;25;1.870
22;200000;30;1.559
22;200000;35;1.333
22;200000;40;1.168
22;200000;45;1.040
22;200000;50;0.938
22;500000;4;12.462
22;500000;5;9.339
22;500000;6;7.781
22;500000;7;6.672
22;500000;8;5.836
22;500000;9;5.189
22;500000;10;4.671
22;500000;12;3.892
22;500000;15;3.831
22;500000;20;2.345
22;500000;25;1.869
22;500000;30;1.559
